Contig	Chromosome
NC_039898.1	Chr01c
NC_039899.1	Chr01e
NC_039900.1	Chr02c
NC_039901.1	Chr02e
NC_039902.1	Chr03c
NC_039903.1	Chr03e
NC_039904.1	Chr04c
NC_039905.1	Chr04e
NC_039906.1	Chr05e
NC_039907.1	Chr05c
NC_039908.1	Chr06c
NC_039909.1	Chr06e
NC_039910.1	Chr07c
NC_039911.1	Chr07e
NC_039912.1	Chr08e
NC_039913.1	Chr08c
NC_039914.1	Chr09c
NC_039915.1	Chr09e
NC_039916.1	Chr10e
NC_039917.1	Chr10c
NC_039918.1	Chr11c
NC_039919.1	Chr11e
NC_008535.1	Chloroplast
NW_020848442.1	NW_020848442.1
NW_020848443.1	NW_020848443.1
NW_020848444.1	NW_020848444.1
NW_020848445.1	NW_020848445.1
NW_020848446.1	NW_020848446.1
NW_020848447.1	NW_020848447.1
NW_020848448.1	NW_020848448.1
NW_020848449.1	NW_020848449.1
NW_020848450.1	NW_020848450.1
NW_020848451.1	NW_020848451.1
NW_020848452.1	NW_020848452.1
NW_020848453.1	NW_020848453.1
NW_020848454.1	NW_020848454.1
NW_020848455.1	NW_020848455.1
NW_020848456.1	NW_020848456.1
NW_020848457.1	NW_020848457.1
NW_020848458.1	NW_020848458.1
NW_020848459.1	NW_020848459.1
NW_020848460.1	NW_020848460.1
NW_020848461.1	NW_020848461.1
NW_020848462.1	NW_020848462.1
NW_020848463.1	NW_020848463.1
NW_020848464.1	NW_020848464.1
NW_020848465.1	NW_020848465.1
NW_020848466.1	NW_020848466.1
NW_020848467.1	NW_020848467.1
NW_020848468.1	NW_020848468.1
NW_020848469.1	NW_020848469.1
NW_020848470.1	NW_020848470.1
NW_020848471.1	NW_020848471.1
NW_020848472.1	NW_020848472.1
NW_020848473.1	NW_020848473.1
NW_020848474.1	NW_020848474.1
NW_020848475.1	NW_020848475.1
NW_020848476.1	NW_020848476.1
NW_020848477.1	NW_020848477.1
NW_020848478.1	NW_020848478.1
NW_020848479.1	NW_020848479.1
NW_020848480.1	NW_020848480.1
NW_020848481.1	NW_020848481.1
NW_020848482.1	NW_020848482.1
NW_020848483.1	NW_020848483.1
NW_020848484.1	NW_020848484.1
NW_020848485.1	NW_020848485.1
NW_020848486.1	NW_020848486.1
NW_020848487.1	NW_020848487.1
NW_020848488.1	NW_020848488.1
NW_020848489.1	NW_020848489.1
NW_020848490.1	NW_020848490.1
NW_020848491.1	NW_020848491.1
NW_020848492.1	NW_020848492.1
NW_020848493.1	NW_020848493.1
NW_020848494.1	NW_020848494.1
NW_020848495.1	NW_020848495.1
NW_020848496.1	NW_020848496.1
NW_020848497.1	NW_020848497.1
NW_020848498.1	NW_020848498.1
NW_020848499.1	NW_020848499.1
NW_020848500.1	NW_020848500.1
NW_020848501.1	NW_020848501.1
NW_020848502.1	NW_020848502.1
NW_020848503.1	NW_020848503.1
NW_020848504.1	NW_020848504.1
NW_020848505.1	NW_020848505.1
NW_020848506.1	NW_020848506.1
NW_020848507.1	NW_020848507.1
NW_020848508.1	NW_020848508.1
NW_020848509.1	NW_020848509.1
NW_020848510.1	NW_020848510.1
NW_020848511.1	NW_020848511.1
NW_020848512.1	NW_020848512.1
NW_020848513.1	NW_020848513.1
NW_020848514.1	NW_020848514.1
NW_020848515.1	NW_020848515.1
NW_020848516.1	NW_020848516.1
NW_020848517.1	NW_020848517.1
NW_020848518.1	NW_020848518.1
NW_020848519.1	NW_020848519.1
NW_020848520.1	NW_020848520.1
NW_020848521.1	NW_020848521.1
NW_020848522.1	NW_020848522.1
NW_020848523.1	NW_020848523.1
NW_020848524.1	NW_020848524.1
NW_020848525.1	NW_020848525.1
NW_020848526.1	NW_020848526.1
NW_020848527.1	NW_020848527.1
NW_020848528.1	NW_020848528.1
NW_020848529.1	NW_020848529.1
NW_020848530.1	NW_020848530.1
NW_020848531.1	NW_020848531.1
NW_020848532.1	NW_020848532.1
NW_020848533.1	NW_020848533.1
NW_020848534.1	NW_020848534.1
NW_020848535.1	NW_020848535.1
NW_020848536.1	NW_020848536.1
NW_020848537.1	NW_020848537.1
NW_020848538.1	NW_020848538.1
NW_020848539.1	NW_020848539.1
NW_020848540.1	NW_020848540.1
NW_020848541.1	NW_020848541.1
NW_020848542.1	NW_020848542.1
NW_020848543.1	NW_020848543.1
NW_020848544.1	NW_020848544.1
NW_020848545.1	NW_020848545.1
NW_020848546.1	NW_020848546.1
NW_020848547.1	NW_020848547.1
NW_020848548.1	NW_020848548.1
NW_020848549.1	NW_020848549.1
NW_020848550.1	NW_020848550.1
NW_020848551.1	NW_020848551.1
NW_020848552.1	NW_020848552.1
NW_020848553.1	NW_020848553.1
NW_020848554.1	NW_020848554.1
NW_020848555.1	NW_020848555.1
NW_020848556.1	NW_020848556.1
NW_020848557.1	NW_020848557.1
NW_020848558.1	NW_020848558.1
NW_020848559.1	NW_020848559.1
NW_020848560.1	NW_020848560.1
NW_020848561.1	NW_020848561.1
NW_020848562.1	NW_020848562.1
NW_020848563.1	NW_020848563.1
